Museum,Condition,AbsCoefFloor,AbsCoefCeiling,AbsCoefWalls,AbsAreaTotal,AbsAreaFloor,AbsAreaCeiling,AbsAreaWall,RT63,RT125,RT250,RT500,RT1K,RT2K,RT4K,RT8K,RTAverage,C63,C125,C250,C50,C1K,C2K,C4K,C8K,Caverage,STIrefpos,STI2,STI4,STI6,STI8,STI10,STI12,STI14,STIAverage,STITreble,rd,D2s,Lpas4,rc,Volume
H9 ,FH,0.426,0.082,0.042,88.842,62.622,16.728,9.492,1.206666667,1.323333333,1.64,1.626666667,1.322222222,1.151111111,1.077777778,0.856666667,1.366666667,0.027474067,2.021052244,0.049873961,0.52223683,2.03698895,4.423580659,4.618591538,4.885055075,2.327602146,0.76,0.63,0.55,0.49,0.44,0.41,0.43,0.44,0.484285714,0.48,7.12,1.89,54.11,0,921.63
H9 ,WL,0.01,0.082,0.01,20.458,1.47,16.728,2.26,1.956666667,2.094444444,2.945555556,3.121111111,2.971111111,2.228888889,1.882222222,1.233333333,2.773703704,-1.872383806,-0.394515675,-2.044168486,-4.304063892,-3.666936414,-2.332902606,-1.172393744,2.10162981,-3.434634304,0.61,0.5,0.42,0.37,0.33,0.34,0.35,0.36,0.381428571,0.38,0,1.12,57.3,0,921.63
H9 ,WM,0.01,0.082,0.082,36.73,1.47,16.728,18.532,0.866666667,1.343333333,2.202222222,2.561111111,2.566666667,2.222222222,1.932222222,1.246666667,2.45,2.330395807,2.191189214,-1.192995345,-2.705007201,-2.753571637,-1.781779815,-1.18892829,2.146258483,-2.413452884,0.64,0.52,0.44,0.37,0.35,0.34,0.35,0.38,0.392857143,0.39,0,1.17,56.44,0,921.63
H9 ,WH,0.01,0.082,0.94,230.638,1.47,16.728,212.44,0.768888889,0.83,0.792222222,0.722222222,0.715555556,0.714444444,0.683333333,0.56,0.717407407,3.764884653,7.489794934,4.567788825,7.274969779,8.029889627,9.233715668,9.201684121,11.61017001,8.179525025,0.85,0.71,0.62,0.56,0.52,0.48,0.47,0.46,0.545714286,0.55,10.29,3.01,51.06,16.12,921.63
M1,CL,0.09,0.01,0.086,21.474991,10.2591,0.672291,10.5436,0.845714286,1.095714286,1.522857143,1.837142857,2.154285714,2.238571429,1.784285714,1.04,2.076666667,7.800832942,5.441213354,0.476217902,-2.255212389,-3.243565624,-4.054618469,-2.611342589,0.344365078,-3.184465494,0.6,0.53,0.47,0.43,0.4,0.4,0.38,0.37,0.425714286,0.43,1.86,1.68,57.19,0,374.75625
M1,CM,0.09,0.14,0.086,30.214774,10.2591,9.412074,10.5436,0.502857143,0.65,0.86,1.015714286,1.138571429,1.128571429,1.014285714,0.711428571,1.094285714,11.77059876,9.086584853,3.003371752,1.125234892,0.279370302,-0.298430785,0.560882891,2.81336746,0.368724803,0.7,0.63,0.57,0.5,0.48,0.48,0.44,0.45,0.507142857,0.51,8.39,2.32,55.08,81.53,374.75625
M1,CH,0.09,0.81,0.086,75.258271,10.2591,54.455571,10.5436,0.681428571,0.595714286,0.6,0.684285714,0.814285714,0.762857143,0.698571429,0.531428571,0.753809524,9.108915357,11.92363012,6.075445969,7.19361637,9.108682924,8.581397307,9.472693669,11.87553103,8.294565534,0.86,0.76,0.66,0.62,0.52,0.52,0.49,0.49,0.58,0.58,11.62,3.46,51.54,14.81,374.75625
M1,FL,0.01,0.07,0.086,15.751193,1.1399,4.067693,10.5436,1.228571429,1.658571429,3.188571429,3.337142857,2.994285714,2.54,1.191428571,0.642857143,2.957142857,6.82872122,4.404254481,-3.68284873,-5.61697431,-5.345697111,-5.027286349,0.659911172,3.313947905,-5.329985923,0,0.5,0.43,0.39,0.36,0.35,0.33,0.32,0.382857143,0.39,0.45,1.24,59.05,0,374.75625
M1,FM,0.09,0.07,0.086,25.508737,10.2591,4.706037,10.5436,1.06,1.0675,1.355,1.63,1.73875,1.68375,1.00875,0.6075,1.684166667,7.950804892,5.663297963,0.273082463,-2.18545735,-2.742925235,-2.919665659,1.374288879,4.102050963,-2.616016081,0.64,0.56,0.5,0.46,0.43,0.42,0.39,0.39,0.45,0.43,2.5,2.04,56.14,0,374.75625
M1,FH,0.426,0.07,0.086,66.4904218,48.55974,7.3870818,10.5436,0.77875,1.02375,0.96875,0.87125,0.76875,0.73625,0.665,0.495,0.792083333,8.07988805,6.211848871,0.977913232,1.507927165,3.93065746,6.366324511,7.553567874,7.385321128,3.934969712,0.78,0.7,0.62,0.56,0.53,0.49,0.46,0.45,0.544285714,0.54,10.1,2.94,53.94,32.97,374.75625
